libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
ORANGE;Encaissement coupons intérêt/dividende;Euronext Paris;05/12/2024;338.0;0.0;88.42;0.0;88.42;EUR;
ORANGE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;03/12/2024;338.0;0.0;101.4;0.0;101.4;EUR;
BALYO DS;Sortie de titres sans valeur                                   ;Euronext Paris;22/11/2024;900.0;0.0;0.0;0.0;0.0;EUR;
BALYO DS;ANNUL. Sortie de titres sans valeur                                   ;Euronext Paris;22/11/2024;900.0;0.0;0.0;0.0;0.0;EUR;
BALYO DS;Sortie de titres sans valeur                                   ;Euronext Paris;21/11/2024;900.0;0.0;0.0;0.0;0.0;EUR;
ATOS DS;OST de création avec ou sans droits - Souscription avec droit;Euronext Paris;12/11/2024;16.0;0.0;0.0;0.0;0.0;EUR;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;31/10/2024;195.0;0.0;3.8;0.0;3.8;EUR;
BALYO DS;OST de création avec ou sans droits - Souscription avec droit;Euronext Paris;30/10/2024;900.0;0.0;0.0;0.0;0.0;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;21/10/2024;195.0;0.0;3.8;0.0;3.8;EUR;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;17/10/2024;13.0;0.0;11.9;0.0;11.9;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;17/10/2024;84.0;0.0;17.85;0.0;17.85;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;15/10/2024;13.0;0.0;13.65;0.0;13.65;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;15/10/2024;84.0;0.0;17.85;0.0;17.85;EUR;
TOTALENERGIES;Encaissement coupons intérêt/dividende;Euronext Paris;01/10/2024;41.0;0.0;28.24;0.0;28.24;EUR;
