libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
VEOLIA ENVIRON.;Encaissement coupons intérêt/dividende;Euronext Paris;10/05/2024;110.0;0.0;119.9;0.0;119.9;EUR;
VEOLIA ENVIRON.;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;08/05/2024;110.0;0.0;137.5;0.0;137.5;EUR;
DANONE;Encaissement coupons intérêt/dividende;Euronext Paris;07/05/2024;31.0;0.0;56.76;0.0;56.76;EUR;
AXA;Encaissement coupons intérêt/dividende;Euronext Paris;06/05/2024;89.0;0.0;153.66;0.0;153.66;EUR;
ENGIE;Encaissement coupons intérêt/dividende;Euronext Paris;06/05/2024;248.0;0.0;174.08;0.0;174.08;EUR;
ENGIE;Encaissement coupons intérêt/dividende;Euronext Paris;06/05/2024;248.0;0.0;155.0;0.0;155.0;EUR;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;03/05/2024;195.0;0.0;5.07;0.0;5.07;EUR;
BOUYGUES;Encaissement coupons intérêt/dividende;Euronext Paris;03/05/2024;55.0;0.0;91.12;0.0;91.12;EUR;
DANONE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;03/05/2024;31.0;0.0;65.1;0.0;65.1;EUR;
PLASTIC OMNIUM;Encaissement coupons intérêt/dividende;Euronext Paris;03/05/2024;51.0;0.0;17.34;0.0;17.34;EUR;
ENGIE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2024;248.0;0.0;199.64;0.0;199.64;EUR;
ENGIE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2024;248.0;0.0;155.0;0.0;155.0;EUR;
BOUYGUES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/04/2024;55.0;0.0;104.5;0.0;104.5;EUR;
AXA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/04/2024;89.0;0.0;176.22;0.0;176.22;EUR;
PLASTIC OMNIUM;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/04/2024;51.0;0.0;19.89;0.0;19.89;EUR;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;25/04/2024;13.0;0.0;39.1;0.0;39.1;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;23/04/2024;13.0;0.0;44.85;0.0;44.85;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;22/04/2024;195.0;0.0;5.07;0.0;5.07;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;18/04/2024;84.0;0.0;35.7;0.0;35.7;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;16/04/2024;84.0;0.0;35.7;0.0;35.7;EUR;
