libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;04/08/2022;195.0;0.0;2.53;0.0;2.53;EUR;
CREDIT AGRICOLE;Achat Comptant;Euronext Paris;01/08/2022;54.0;8.987;-485.3;-1.95;-487.25;EUR;
CREDIT AGRICOLE;TAXE TRANSAC FINAN;Euronext Paris;01/08/2022;54.0;0.0;-1.46;0.0;-1.46;EUR;
SCHNEIDER ELECTRIC;TAXE TRANSAC FINAN;Euronext Paris;01/08/2022;3.0;0.0;-1.21;0.0;-1.21;EUR;
SCHNEIDER ELECTRIC;Achat Comptant;Euronext Paris;01/08/2022;3.0;134.72;-404.16;-1.95;-406.11;EUR;
TOTALENERGIES;Achat Comptant;Euronext Paris;29/07/2022;10.0;49.7;-497.0;-1.95;-498.95;EUR;
TOTALENERGIES;TAXE TRANSAC FINAN;Euronext Paris;29/07/2022;10.0;0.0;-1.49;0.0;-1.49;EUR;
VINCI;Achat Comptant;Euronext Paris;29/07/2022;5.0;93.7;-468.5;-1.95;-470.45;EUR;
VINCI;TAXE TRANSAC FINAN;Euronext Paris;29/07/2022;5.0;0.0;-1.41;0.0;-1.41;EUR;
ENGIE;Achat Comptant;Euronext Paris;29/07/2022;40.0;12.132;-485.28;-1.95;-487.23;EUR;
ENGIE;TAXE TRANSAC FINAN;Euronext Paris;29/07/2022;40.0;0.0;-1.46;0.0;-1.46;EUR;
EDF;Vente comptant                                                 ;Euronext Paris;29/07/2022;142.0;11.875;1686.25;-3.9;1682.35;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/07/2022;195.0;0.0;2.54;0.0;2.54;EUR;
ALSTOM;OST de création de coupons - Détachement coupon Intérêt/divid;Euronext Paris;20/07/2022;70.0;0.0;17.5;0.0;17.5;EUR;
ALSTOM.DIV.OPT.22 ;OST de création de coupons - Paiement en titres;null;20/07/2022;70.0;0.0;0.0;0.0;0.0;EUR;
VEOLIA ENVIRON.;Encaissement coupons intérêt/dividende;Euronext Paris;07/07/2022;80.0;0.0;69.76;0.0;69.76;EUR;
VEOLIA ENVIRON.;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;05/07/2022;80.0;0.0;80.0;0.0;80.0;EUR;
TOTALENERGIES;Encaissement coupons intérêt/dividende;Euronext Paris;01/07/2022;31.0;0.0;17.84;0.0;17.84;EUR;
CREDIT AGRICOLE;Achat Comptant;Euronext Paris;23/06/2022;29.0;8.896;-257.98;-1.95;-259.93;EUR;
CREDIT AGRICOLE;TAXE TRANSAC FINAN;Euronext Paris;23/06/2022;29.0;0.0;-0.77;0.0;-0.77;EUR;
TOTALENERGIES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;21/06/2022;31.0;0.0;20.46;0.0;20.46;EUR;
BOLLORE;Encaissement coupons intérêt/dividende;Euronext Paris;13/06/2022;63.0;0.0;2.19;0.0;2.19;EUR;
EDF;Encaissement coupons optionnel                                 ;Euronext Paris;13/06/2022;142.0;0.0;34.67;0.0;34.67;EUR;
BOLLORE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;09/06/2022;63.0;0.0;2.52;0.0;2.52;EUR;
CARREFOUR;Encaissement coupons intérêt/dividende;Euronext Paris;09/06/2022;57.0;0.0;25.84;0.0;25.84;EUR;
ORANGE;Encaissement coupons intérêt/dividende;Euronext Paris;09/06/2022;338.0;0.0;117.89;0.0;117.89;EUR;
CARREFOUR;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;07/06/2022;57.0;0.0;29.64;0.0;29.64;EUR;
ORANGE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;07/06/2022;338.0;0.0;135.2;0.0;135.2;EUR;
CREDIT AGRICOLE;Encaissement coupons intérêt/dividende;Euronext Paris;01/06/2022;35.0;0.0;32.04;0.0;32.04;EUR;
AXA;TAXE TRANSAC FINAN;Euronext Paris;01/06/2022;14.0;0.0;-0.99;0.0;-0.99;EUR;
AXA;Achat Comptant;Euronext Paris;01/06/2022;14.0;23.505;-329.07;-1.95;-331.02;EUR;
VEOLIA ENVIRON.;TAXE TRANSAC FINAN;Euronext Paris;01/06/2022;11.0;0.0;-0.86;0.0;-0.86;EUR;
VEOLIA ENVIRON.;Achat Comptant;Euronext Paris;01/06/2022;11.0;26.01;-286.11;-1.95;-288.06;EUR;
CREDIT AGRICOLE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/05/2022;35.0;0.0;36.75;0.0;36.75;EUR;
SOCIETE GENERALE;Encaissement coupons intérêt/dividende;Euronext Paris;27/05/2022;15.0;0.0;21.58;0.0;21.58;EUR;
ENGIE;Achat Comptant;Euronext Paris;27/05/2022;31.0;12.686;-393.27;-1.95;-395.22;EUR;
ENGIE;TAXE TRANSAC FINAN;Euronext Paris;27/05/2022;31.0;0.0;-1.18;0.0;-1.18;EUR;
SOCIETE GENERALE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/05/2022;15.0;0.0;24.75;0.0;24.75;EUR;
SANOFI;Encaissement coupons intérêt/dividende;Euronext Paris;20/05/2022;17.0;0.0;8.87;0.0;8.87;EUR;
SCHNEIDER ELECTRIC;Encaissement coupons intérêt/dividende;Euronext Paris;19/05/2022;3.0;0.0;7.58;0.0;7.58;EUR;
EDF;OST de création de coupons - Détachement coupon Intérêt/divid;Euronext Paris;18/05/2022;142.0;0.0;39.76;0.0;39.76;EUR;
EDF DIV.OPT.2022  ;OST de création de coupons - Paiement en titres;null;18/05/2022;142.0;0.0;0.0;0.0;0.0;EUR;
SCHNEIDER ELECTRIC;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;17/05/2022;3.0;0.0;8.7;0.0;8.7;EUR;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;12/05/2022;195.0;0.0;2.53;0.0;2.53;EUR;
DANONE;Encaissement coupons intérêt/dividende;Euronext Paris;12/05/2022;22.0;0.0;37.21;0.0;37.21;EUR;
SANOFI;Encaissement coupons intérêt/dividende;Euronext Paris;10/05/2022;17.0;0.0;49.36;0.0;49.36;EUR;
AXA;Encaissement coupons intérêt/dividende;Euronext Paris;10/05/2022;75.0;0.0;100.71;0.0;100.71;EUR;
DANONE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;10/05/2022;22.0;0.0;42.68;0.0;42.68;EUR;
SANOFI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;06/05/2022;17.0;0.0;10.17;0.0;10.17;EUR;
SANOFI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;06/05/2022;17.0;0.0;56.61;0.0;56.61;EUR;
AXA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;06/05/2022;75.0;0.0;115.5;0.0;115.5;EUR;
BOUYGUES;Encaissement coupons intérêt/dividende;Euronext Paris;05/05/2022;55.0;0.0;86.32;0.0;86.32;EUR;
BOUYGUES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;03/05/2022;55.0;0.0;99.0;0.0;99.0;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2022;195.0;0.0;3.9;0.0;3.9;EUR;
NOKIA;ANNUL. OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2022;195.0;0.0;-3.9;0.0;-3.9;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2022;195.0;0.0;2.53;0.0;2.53;EUR;
VEOLIA ENVIRON.;Achat Comptant;Euronext Paris;02/05/2022;17.0;27.01;-459.17;-1.95;-461.12;EUR;
VEOLIA ENVIRON.;TAXE TRANSAC FINAN;Euronext Paris;02/05/2022;17.0;0.0;-1.38;0.0;-1.38;EUR;
PLASTIC OMNIUM;Encaissement coupons intérêt/dividende;Euronext Paris;02/05/2022;51.0;0.0;12.45;0.0;12.45;EUR;
PLASTIC OMNIUM;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;28/04/2022;51.0;0.0;14.28;0.0;14.28;EUR;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;28/04/2022;8.0;0.0;15.69;0.0;15.69;EUR;
ENGIE;Encaissement coupons intérêt/dividende;Euronext Paris;27/04/2022;145.0;0.0;107.47;0.0;107.47;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;26/04/2022;8.0;0.0;18.0;0.0;18.0;EUR;
ENGIE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/04/2022;145.0;0.0;123.25;0.0;123.25;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;21/04/2022;84.0;0.0;35.7;0.0;35.7;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;19/04/2022;84.0;0.0;35.7;0.0;35.7;EUR;
BONDUELLE;Achat Comptant;Euronext Paris;12/04/2022;20.0;16.28;-325.6;-1.95;-327.55;EUR;
BOUYGUES;Achat Comptant;Euronext Paris;12/04/2022;16.0;30.74;-491.84;-1.95;-493.79;EUR;
BOUYGUES;TAXE TRANSAC FINAN;Euronext Paris;12/04/2022;16.0;0.0;-1.48;0.0;-1.48;EUR;
ENGIE;Achat Comptant;Euronext Paris;11/04/2022;35.0;11.754;-411.39;-1.95;-413.34;EUR;
ENGIE;TAXE TRANSAC FINAN;Euronext Paris;11/04/2022;35.0;0.0;-1.23;0.0;-1.23;EUR;
EDF DS;Sortie de titres sans valeur                                   ;Euronext Paris;07/04/2022;6.0;0.0;0.0;0.0;0.0;EUR;
TOTALENERGIES;Encaissement coupons intérêt/dividende;Euronext Paris;01/04/2022;31.0;0.0;17.84;0.0;17.84;EUR;
TOTALENERGIES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;22/03/2022;31.0;0.0;20.46;0.0;20.46;EUR;
EDF DS;OST de création avec ou sans droits - Souscription avec droit;Euronext Paris;21/03/2022;123.0;0.0;0.0;0.0;0.0;EUR;
ALSTOM;Achat Comptant;Euronext Paris;18/03/2022;21.0;21.09;-442.89;-1.95;-444.84;EUR;
ALSTOM;TAXE TRANSAC FINAN;Euronext Paris;18/03/2022;21.0;0.0;-1.33;0.0;-1.33;EUR;
