libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2025;195.0;0.0;5.07;0.0;5.07;EUR;
OPMOBILITY;Encaissement coupons intérêt/dividende;Euronext Paris;02/05/2025;51.0;0.0;16.0;0.0;16.0;EUR;
OPMOBILITY;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;29/04/2025;51.0;0.0;18.36;0.0;18.36;EUR;
ENGIE;Encaissement coupons intérêt/dividende;Euronext Paris;29/04/2025;248.0;0.0;320.05;0.0;320.05;EUR;
ENGIE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/04/2025;248.0;0.0;367.04;0.0;367.04;EUR;
ATOS;OST de mutation - Echange automatique                          ;Euronext Paris;24/04/2025;16.0;0.0;0.0;0.0;0.0;EUR;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;24/04/2025;13.0;0.0;41.94;0.0;41.94;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;22/04/2025;13.0;0.0;48.1;0.0;48.1;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;17/04/2025;84.0;0.0;17.85;0.0;17.85;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;15/04/2025;84.0;0.0;17.85;0.0;17.85;EUR;
