libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
BOLLORE;Encaissement coupons intérêt/dividende;Euronext Paris;27/06/2024;63.0;0.0;2.74;0.0;2.74;EUR;
BOLLORE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/06/2024;63.0;0.0;3.15;0.0;3.15;EUR;
TOTALENERGIES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;19/06/2024;41.0;0.0;32.39;0.0;32.39;EUR;
ORANGE;Encaissement coupons intérêt/dividende;Euronext Paris;06/06/2024;338.0;0.0;123.78;0.0;123.78;EUR;
ORANGE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;04/06/2024;338.0;0.0;141.96;0.0;141.96;EUR;
ALSTOM DS;Vente comptant                                                 ;Euronext Paris;03/06/2024;70.0;1.02;71.4;-1.95;69.45;EUR;
CREDIT AGRICOLE;Encaissement coupons intérêt/dividende;Euronext Paris;31/05/2024;118.0;0.0;108.04;0.0;108.04;EUR;
CARREFOUR;Encaissement coupons intérêt/dividende;Euronext Paris;30/05/2024;57.0;0.0;43.24;0.0;43.24;EUR;
SCHNEIDER ELECTRIC;Encaissement coupons intérêt/dividende;Euronext Paris;30/05/2024;9.0;0.0;27.46;0.0;27.46;EUR;
CREDIT AGRICOLE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;29/05/2024;118.0;0.0;123.9;0.0;123.9;EUR;
SOCIETE GENERALE;Encaissement coupons intérêt/dividende;Euronext Paris;29/05/2024;69.0;0.0;54.15;0.0;54.15;EUR;
