libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
ORANGE;Encaissement coupons intérêt/dividende;Euronext Paris;05/06/2025;338.0;0.0;132.63;0.0;132.63;EUR;
CARREFOUR;Encaissement coupons intérêt/dividende;Euronext Paris;03/06/2025;57.0;0.0;57.15;0.0;57.15;EUR;
ORANGE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;03/06/2025;338.0;0.0;152.1;0.0;152.1;EUR;
CARREFOUR;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/05/2025;57.0;0.0;65.55;0.0;65.55;EUR;
CREDIT AGRICOLE;Encaissement coupons intérêt/dividende;Euronext Paris;28/05/2025;118.0;0.0;113.18;0.0;113.18;EUR;
SOCIETE GENERALE;Encaissement coupons intérêt/dividende;Euronext Paris;28/05/2025;69.0;0.0;65.58;0.0;65.58;EUR;
CREDIT AGRICOLE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;26/05/2025;118.0;0.0;129.8;0.0;129.8;EUR;
SOCIETE GENERALE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;26/05/2025;69.0;0.0;75.21;0.0;75.21;EUR;
MICHELIN;Encaissement coupons intérêt/dividende;Euronext Paris;23/05/2025;16.0;0.0;19.25;0.0;19.25;EUR;
MICHELIN;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;21/05/2025;16.0;0.0;22.08;0.0;22.08;EUR;
SCHNEIDER ELECTRIC;Encaissement coupons sur OPCVM                                 ;Euronext Paris;15/05/2025;9.0;0.0;12.33;0.0;12.33;EUR;
SCHNEIDER ELECTRIC;Encaissement coupons sur OPCVM                                 ;Euronext Paris;15/05/2025;9.0;0.0;19.85;0.0;19.85;EUR;
SANOFI;Encaissement coupons intérêt/dividende;Euronext Paris;14/05/2025;23.0;0.0;78.61;0.0;78.61;EUR;
VEOLIA ENVIRON.;Encaissement coupons intérêt/dividende;Euronext Paris;14/05/2025;110.0;0.0;134.28;0.0;134.28;EUR;
SCHNEIDER ELECTRIC;OST de création de coupons - Détachement coupon sur OPCVM;Euronext Paris;13/05/2025;9.0;0.0;35.1;0.0;35.1;EUR;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;12/05/2025;195.0;0.0;5.07;0.0;5.07;EUR;
SANOFI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;12/05/2025;23.0;0.0;90.16;0.0;90.16;EUR;
VEOLIA ENVIRON.;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;12/05/2025;110.0;0.0;154.0;0.0;154.0;EUR;
