libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
CARREFOUR;Encaissement coupons intérêt/dividende;Euronext Paris;08/06/2023;57.0;0.0;27.83;0.0;27.83;EUR;
ORANGE;Encaissement coupons intérêt/dividende;Euronext Paris;07/06/2023;338.0;0.0;117.89;0.0;117.89;EUR;
CARREFOUR;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;06/06/2023;57.0;0.0;31.92;0.0;31.92;EUR;
ORANGE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;05/06/2023;338.0;0.0;135.2;0.0;135.2;EUR;
CREDIT AGRICOLE;Encaissement coupons intérêt/dividende;Euronext Paris;01/06/2023;118.0;0.0;108.04;0.0;108.04;EUR;
SANOFI;Encaissement coupons intérêt/dividende;Euronext Paris;01/06/2023;17.0;0.0;52.77;0.0;52.77;EUR;
SOCIETE GENERALE;Encaissement coupons intérêt/dividende;Euronext Paris;01/06/2023;48.0;0.0;71.15;0.0;71.15;EUR;
CREDIT AGRICOLE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/05/2023;118.0;0.0;123.9;0.0;123.9;EUR;
SANOFI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/05/2023;17.0;0.0;60.52;0.0;60.52;EUR;
SOCIETE GENERALE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;30/05/2023;48.0;0.0;81.6;0.0;81.6;EUR;
DANONE;Encaissement coupons intérêt/dividende;Euronext Paris;11/05/2023;31.0;0.0;54.06;0.0;54.06;EUR;
SCHNEIDER ELECTRIC;Encaissement coupons intérêt/dividende;Euronext Paris;11/05/2023;6.0;0.0;16.48;0.0;16.48;EUR;
VEOLIA ENVIRON.;Encaissement coupons intérêt/dividende;Euronext Paris;11/05/2023;110.0;0.0;107.43;0.0;107.43;EUR;
AXA;Encaissement coupons intérêt/dividende;Euronext Paris;10/05/2023;89.0;0.0;131.93;0.0;131.93;EUR;
DANONE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;09/05/2023;31.0;0.0;62.0;0.0;62.0;EUR;
SCHNEIDER ELECTRIC;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;09/05/2023;6.0;0.0;18.9;0.0;18.9;EUR;
VEOLIA ENVIRON.;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;09/05/2023;110.0;0.0;123.2;0.0;123.2;EUR;
