libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;16/10/2025;13.0;0.0;11.9;0.0;11.9;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;16/10/2025;84.0;0.0;17.85;0.0;17.85;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;14/10/2025;13.0;0.0;13.65;0.0;13.65;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;14/10/2025;84.0;0.0;17.85;0.0;17.85;EUR;
SOCIETE GENERALE;Encaissement coupons intérêt/dividende;Euronext Paris;09/10/2025;69.0;0.0;36.7;0.0;36.7;EUR;
SOCIETE GENERALE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;07/10/2025;69.0;0.0;42.09;0.0;42.09;EUR;
TOTALENERGIES;Encaissement coupons intérêt/dividende;Euronext Paris;03/10/2025;49.0;0.0;36.31;0.0;36.31;EUR;
TOTALENERGIES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;01/10/2025;49.0;0.0;41.65;0.0;41.65;EUR;
BOLLORE;Encaissement coupons intérêt/dividende;Euronext Paris;30/09/2025;63.0;0.0;1.09;0.0;1.09;EUR;
BOLLORE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;26/09/2025;63.0;0.0;1.26;0.0;1.26;EUR;
